YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,DEPARTURE_DELAY_INDEX,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,ARRIVAL_DELAY_INDEX,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,WN,205,N624SW,SAN,SJC,715,709,-6,1,8,717,80,78,66,417,823,4,835,827,-8,1,0,0,,,,,,
2015,1,1,4,UA,546,N514UA,SAN,IAD,745,739,-6,1,12,751,282,258,239,2253,1450,7,1527,1457,-30,1,0,0,,,,,,
2015,1,1,4,AA,94,N3ANAA,SAN,JFK,755,810,15,0,13,823,320,281,262,2446,1545,6,1615,1551,-24,1,0,0,,,,,,
2015,1,1,4,UA,662,N475UA,SAN,SFO,800,758,-2,1,15,813,100,111,69,447,922,27,940,949,9,0,0,0,,,,,,
2015,1,1,4,WN,336,N490WN,SAN,SEA,800,755,-5,1,15,810,175,170,148,1050,1038,7,1055,1045,-10,1,0,0,,,,,,
2015,1,1,4,AS,493,N794AS,SAN,SEA,800,752,-8,1,14,806,174,177,153,1050,1039,10,1054,1049,-5,1,0,0,,,,,,
2015,1,1,4,NK,858,N515NK,SAN,IAH,800,752,-8,1,10,802,178,179,159,1303,1241,10,1258,1251,-7,1,0,0,,,,,,
2015,1,1,4,WN,2400,N405WN,SAN,HOU,810,807,-3,1,9,816,175,175,161,1313,1257,5,1305,1302,-3,1,0,0,,,,,,
2015,1,1,4,UA,484,N809UA,SAN,DEN,820,811,-9,1,14,825,146,147,120,853,1125,13,1146,1138,-8,1,0,0,,,,,,
2015,1,1,4,WN,411,N8614M,SAN,AUS,830,825,-5,1,12,837,165,162,144,1164,1301,6,1315,1307,-8,1,0,0,,,,,,
2015,1,1,4,AA,48,N3JXAA,SAN,DFW,835,830,-5,1,13,843,175,164,141,1171,1304,10,1330,1314,-16,1,0,0,,,,,,
2015,1,1,4,US,740,N673AW,SAN,PHL,850,845,-5,1,27,912,301,284,253,2370,1625,4,1651,1629,-22,1,0,0,,,,,,
2015,1,1,4,WN,355,N261WN,SAN,LAS,850,845,-5,1,9,854,70,66,53,258,947,4,1000,951,-9,1,0,0,,,,,,
2015,1,1,4,AS,768,N586AS,SAN,BOS,850,842,-8,1,23,905,320,300,270,2588,1635,7,1710,1642,-28,1,0,0,,,,,,
2015,1,1,4,WN,954,N756SA,SAN,SJC,855,845,-10,1,6,851,80,72,63,417,954,3,1015,957,-18,1,0,0,,,,,,
2015,1,1,4,AA,92,N3KHAA,SAN,ORD,900,900,0,1,15,915,240,210,189,1723,1424,6,1500,1430,-30,1,0,0,,,,,,
2015,1,1,4,DL,1687,N925DN,SAN,MSP,900,900,0,1,17,917,222,224,200,1532,1437,7,1442,1444,2,0,0,0,,,,,,
2015,1,1,4,OO,6323,N568SW,SAN,LAX,903,1055,112,0,15,1110,49,53,32,109,1142,6,952,1148,116,0,0,0,,4,0,11,101,0
2015,1,1,4,VX,953,N528VA,SAN,SFO,905,900,-5,1,15,915,90,85,67,447,1022,3,1035,1025,-10,1,0,0,,,,,,
2015,1,1,4,OO,5186,N471CA,SAN,SFO,910,903,-7,1,16,919,104,96,69,447,1028,11,1054,1039,-15,1,0,0,,,,,,
2015,1,1,4,OO,2583,N492SW,SAN,LAX,915,901,-14,1,8,909,45,46,27,109,936,11,1000,947,-13,1,0,0,,,,,,
2015,1,1,4,NK,470,N534NK,SAN,LAS,928,915,-13,1,10,925,72,66,51,258,1016,5,1040,1021,-19,1,0,0,,,,,,
2015,1,1,4,WN,989,N943WN,SAN,DEN,930,931,1,0,8,939,145,125,111,853,1230,6,1255,1236,-19,1,0,0,,,,,,
2015,1,1,4,WN,346,N454WN,SAN,PDX,930,927,-3,1,13,940,155,147,131,933,1151,3,1205,1154,-11,1,0,0,,,,,,
2015,1,1,4,AA,36,N3EKAA,SAN,DFW,935,928,-7,1,13,941,170,172,140,1171,1401,19,1425,1420,-5,1,0,0,,,,,,
2015,1,1,4,UA,688,N463UA,SAN,IAH,945,941,-4,1,11,952,190,179,161,1303,1433,7,1455,1440,-15,1,0,0,,,,,,
2015,1,1,4,WN,321,N7720F,SAN,IAD,945,950,5,0,10,1000,280,264,239,2253,1659,15,1725,1714,-11,1,0,0,,,,,,
2015,1,1,4,OO,4840,N613QX,SAN,LAX,955,953,-2,1,15,1008,60,54,28,109,1036,11,1055,1047,-8,1,0,0,,,,,,
2015,1,1,4,US,566,N507AY,SAN,PHX,1000,954,-6,1,16,1010,71,67,47,304,1157,4,1211,1201,-10,1,0,0,,,,,,
2015,1,1,4,OO,5531,N874AS,SAN,DEN,1000,0,0,1,,,150,,,853,,,1330,0,0,1,0,1,1,,,,,
2015,1,1,4,AS,481,N323AS,SAN,SEA,1005,959,-6,1,15,1014,175,166,146,1050,1240,5,1300,1245,-15,1,0,0,,,,,,
2015,1,1,4,AA,1006,N3CFAA,SAN,ORD,1010,1000,-10,1,16,1016,240,218,194,1723,1530,8,1610,1538,-32,1,0,0,,,,,,
2015,1,1,4,AS,760,N546AS,SAN,MCO,1015,1009,-6,1,12,1021,274,280,247,2149,1728,21,1749,1749,0,1,0,0,,,,,,
2015,1,1,4,AS,857,N537AS,SAN,LIH,1015,1020,5,0,19,1039,382,384,359,2676,1438,6,1437,1444,7,0,0,0,,,,,,
2015,1,1,4,F9,554,N223FR,SAN,DEN,1015,1015,0,1,12,1027,134,132,113,853,1320,7,1329,1327,-2,1,0,0,,,,,,
2015,1,1,4,WN,2258,N918WN,SAN,LAS,1020,1128,68,0,12,1140,75,72,52,258,1232,8,1135,1240,65,0,0,0,,0,0,6,59,0
2015,1,1,4,DL,2295,N360NB,SAN,SLC,1020,1014,-6,1,18,1032,114,112,89,626,1301,5,1314,1306,-8,1,0,0,,,,,,
2015,1,1,4,HA,15,N390HA,SAN,HNL,1030,1019,-11,1,18,1037,365,385,356,2614,1433,11,1435,1444,9,0,0,0,,,,,,
2015,1,1,4,WN,1974,N908WN,SAN,SMF,1040,1041,1,0,9,1050,90,89,77,480,1207,3,1210,1210,0,1,0,0,,,,,,
2015,1,1,4,AA,2337,N528AA,SAN,DFW,1050,1106,16,0,14,1120,180,168,144,1171,1544,10,1550,1554,4,0,0,0,,,,,,
2015,1,1,4,WN,341,N904WN,SAN,MCO,1055,1113,18,0,8,1121,270,266,250,2149,1831,8,1825,1839,14,0,0,0,,,,,,
2015,1,1,4,WN,1646,N649SW,SAN,PHX,1055,1053,-2,1,9,1102,70,60,45,304,1247,6,1305,1253,-12,1,0,0,,,,,,
2015,1,1,4,OO,6322,N560SW,SAN,LAX,1100,1151,51,0,9,1200,57,46,32,109,1232,5,1157,1237,40,0,0,0,,0,0,0,40,0
2015,1,1,4,AS,895,N596AS,SAN,HNL,1105,1112,7,0,30,1142,374,390,348,2614,1530,12,1519,1542,23,0,0,0,,16,0,7,0,0
2015,1,1,4,UA,1563,N38454,SAN,ORD,1109,1118,9,0,15,1133,241,221,190,1723,1643,16,1710,1659,-11,1,0,0,,,,,,
2015,1,1,4,WN,701,N419WN,SAN,OAK,1120,1201,41,0,8,1209,85,80,67,446,1316,5,1245,1321,36,0,0,0,,0,0,2,34,0
2015,1,1,4,US,487,N150UW,SAN,CLT,1120,1116,-4,1,16,1132,268,241,215,2077,1807,10,1848,1817,-31,1,0,0,,,,,,
2015,1,1,4,UA,317,N418UA,SAN,SFO,1125,1130,5,0,18,1148,95,94,67,447,1255,9,1300,1304,4,0,0,0,,,,,,
2015,1,1,4,WN,869,N7730A,SAN,MDW,1125,1133,8,0,16,1149,235,216,194,1728,1703,6,1720,1709,-11,1,0,0,,,,,,
2015,1,1,4,US,581,N186US,SAN,PHL,1125,1118,-7,1,21,1139,305,284,254,2370,1853,9,1930,1902,-28,1,0,0,,,,,,
2015,1,1,4,B6,620,N638JB,SAN,BOS,1130,1126,-4,1,16,1142,314,285,264,2588,1906,5,1944,1911,-33,1,0,0,,,,,,
2015,1,1,4,DL,1565,N757AT,SAN,SLC,1132,1125,-7,1,20,1145,116,118,93,626,1418,5,1428,1423,-5,1,0,0,,,,,,
2015,1,1,4,WN,1723,N687SW,SAN,SFO,1135,1133,-2,1,13,1146,90,93,68,447,1254,12,1305,1306,1,0,0,0,,,,,,
2015,1,1,4,OO,2626,N862AS,SAN,LAX,1135,1129,-6,1,11,1140,50,44,24,109,1204,9,1225,1213,-12,1,0,0,,,,,,
2015,1,1,4,UA,340,N428UA,SAN,IAH,1140,1140,0,1,12,1152,189,188,158,1303,1630,18,1649,1648,-1,1,0,0,,,,,,
2015,1,1,4,WN,1093,N608SW,SAN,LAS,1150,1201,11,0,7,1208,70,64,51,258,1259,6,1300,1305,5,0,0,0,,,,,,
2015,1,1,4,WN,3356,N266WN,SAN,SJC,1155,1153,-2,1,8,1201,80,74,63,417,1304,3,1315,1307,-8,1,0,0,,,,,,
2015,1,1,4,OO,6325,N586SW,SAN,LAX,1200,1224,24,0,11,1235,57,46,30,109,1305,5,1257,1310,13,0,0,0,,,,,,
2015,1,1,4,WN,819,N8617E,SAN,DEN,1210,1220,10,0,13,1233,140,135,115,853,1528,7,1530,1535,5,0,0,0,,,,,,
2015,1,1,4,VX,961,N633VA,SAN,SFO,1215,1213,-2,1,16,1229,95,93,69,447,1338,8,1350,1346,-4,1,0,0,,,,,,
2015,1,1,4,WN,1624,N427WN,SAN,SMF,1215,1215,0,1,18,1233,95,96,74,480,1347,4,1350,1351,1,0,0,0,,,,,,
2015,1,1,4,WN,126,N256WN,SAN,OAK,1220,1300,40,0,12,1312,90,85,68,446,1420,5,1350,1425,35,0,0,0,,0,0,10,25,0
2015,1,1,4,WN,2142,N389SW,SAN,PHX,1220,1225,5,0,11,1236,75,60,44,304,1420,5,1435,1425,-10,1,0,0,,,,,,
2015,1,1,4,US,1712,N575UW,SAN,PHX,1235,1228,-7,1,13,1241,72,64,48,304,1429,3,1447,1432,-15,1,0,0,,,,,,
2015,1,1,4,WN,182,N765SW,SAN,BNA,1235,1250,15,0,9,1259,225,215,199,1751,1818,7,1820,1825,5,0,0,0,,,,,,
2015,1,1,4,WN,460,N7746C,SAN,MSY,1250,1302,12,0,7,1309,210,196,186,1599,1815,3,1820,1818,-2,1,0,0,,,,,,
2015,1,1,4,DL,1692,N696DL,SAN,ATL,1250,1244,-6,1,17,1301,245,230,207,1892,1928,6,1955,1934,-21,1,0,0,,,,,,
2015,1,1,4,UA,1588,N37290,SAN,IAH,1300,1300,0,1,13,1313,188,184,159,1303,1752,12,1808,1804,-4,1,0,0,,,,,,
2015,1,1,4,OO,6327,N584SW,SAN,LAX,1313,1309,-4,1,9,1318,49,44,30,109,1348,5,1402,1353,-9,1,0,0,,,,,,
2015,1,1,4,WN,2197,N739GB,SAN,SJC,1315,1317,2,0,7,1324,80,71,61,417,1425,3,1435,1428,-7,1,0,0,,,,,,
2015,1,1,4,UA,399,N456UA,SAN,IAD,1317,1504,107,0,15,1519,288,,,2253,115,4,2105,119,0,1,1,0,,,,,,
2015,1,1,4,DL,2378,N6712B,SAN,SLC,1323,1316,-7,1,22,1338,112,120,94,626,1612,4,1615,1616,1,0,0,0,,,,,,
2015,1,1,4,B6,190,N618JB,SAN,JFK,1323,1321,-2,1,10,1331,306,282,265,2446,2056,7,2129,2103,-26,1,0,0,,,,,,
2015,1,1,4,WN,1057,N8648A,SAN,BWI,1325,1331,6,0,11,1342,290,264,244,2295,2046,9,2115,2055,-20,1,0,0,,,,,,
2015,1,1,4,AA,369,N5CDAA,SAN,DFW,1325,1333,8,0,14,1347,175,166,140,1171,1807,12,1820,1819,-1,1,0,0,,,,,,
2015,1,1,4,WN,3031,N7750A,SAN,LAS,1330,1329,-1,1,7,1336,70,69,52,258,1428,10,1440,1438,-2,1,0,0,,,,,,
2015,1,1,4,UA,1424,N38458,SAN,SFO,1331,1409,38,0,11,1420,93,82,64,447,1524,7,1504,1531,27,0,0,0,,0,0,0,27,0
2015,1,1,4,WN,3147,N412WN,SAN,SFO,1335,1353,18,0,12,1405,90,88,70,447,1515,6,1505,1521,16,0,0,0,,0,0,8,8,0
2015,1,1,4,WN,2521,N279WN,SAN,ATL,1340,1423,43,0,11,1434,240,237,217,1892,2111,9,2040,2120,40,0,0,0,,0,0,27,13,0
2015,1,1,4,WN,876,N437WN,SAN,MCI,1340,1359,19,0,10,1409,180,172,157,1334,1846,5,1840,1851,11,0,0,0,,,,,,
2015,1,1,4,WN,3772,N361SW,SAN,PHX,1350,1400,10,0,14,1414,70,76,46,304,1600,16,1600,1616,16,0,0,0,,6,0,10,0,0
2015,1,1,4,WN,2078,N935WN,SAN,LAS,1400,1401,1,0,7,1408,70,65,53,258,1501,5,1510,1506,-4,1,0,0,,,,,,
2015,1,1,4,DL,2274,N540US,SAN,ATL,1404,1357,-7,1,14,1411,241,229,209,1892,2040,6,2105,2046,-19,1,0,0,,,,,,
2015,1,1,4,UA,1275,N37252,SAN,ORD,1405,1405,0,1,13,1418,247,239,201,1723,1939,25,2012,2004,-8,1,0,0,,,,,,
2015,1,1,4,WN,4725,N354SW,SAN,OAK,1410,1419,9,0,12,1431,85,84,66,446,1537,6,1535,1543,8,0,0,0,,,,,,
2015,1,1,4,OO,2580,N866AS,SAN,LAX,1410,1400,-10,1,13,1413,45,42,25,109,1438,4,1455,1442,-13,1,0,0,,,,,,
2015,1,1,4,AA,1288,N568AA,SAN,DFW,1415,1413,-2,1,15,1428,175,214,144,1171,1852,55,1910,1947,37,0,0,0,,37,0,0,0,0
2015,1,1,4,AS,487,N756AS,SAN,SEA,1415,1413,-2,1,16,1429,175,174,154,1050,1703,4,1710,1707,-3,1,0,0,,,,,,
2015,1,1,4,OO,4982,N578SW,SAN,LAX,1421,1454,33,0,7,1501,49,35,25,109,1526,3,1510,1529,19,0,0,0,,0,0,0,19,0
2015,1,1,4,WN,157,N254WN,SAN,HOU,1425,1429,4,0,11,1440,180,171,157,1313,1917,3,1925,1920,-5,1,0,0,,,,,,
2015,1,1,4,WN,4818,N8320J,SAN,MDW,1430,1426,-4,1,7,1433,235,212,196,1728,1949,9,2025,1958,-27,1,0,0,,,,,,
2015,1,1,4,WN,383,N624SW,SAN,PHX,1435,1436,1,0,8,1444,70,67,50,304,1634,9,1645,1643,-2,1,0,0,,,,,,
2015,1,1,4,F9,556,N206FR,SAN,DEN,1438,1424,-14,1,14,1438,132,142,119,853,1737,9,1750,1746,-4,1,0,0,,,,,,
2015,1,1,4,OO,3483,N223AG,SAN,BOI,1440,1434,-6,1,16,1450,130,135,115,749,1745,4,1750,1749,-1,1,0,0,,,,,,
2015,1,1,4,WN,499,N274WN,SAN,SEA,1450,1500,10,0,10,1510,175,161,147,1050,1737,4,1745,1741,-4,1,0,0,,,,,,
2015,1,1,4,WN,1788,N942WN,SAN,OAK,1505,1504,-1,1,12,1516,85,84,67,446,1623,5,1630,1628,-2,1,0,0,,,,,,
2015,1,1,4,WN,186,N378SW,SAN,SMF,1505,1544,39,0,10,1554,90,91,76,480,1710,5,1635,1715,40,0,0,0,,1,0,17,22,0
2015,1,1,4,WN,319,N780SW,SAN,AUS,1515,1530,15,0,11,1541,160,163,147,1164,2008,5,1955,2013,18,0,0,0,,3,0,15,0,0
2015,1,1,4,UA,471,N476UA,SAN,IAH,1516,1543,27,0,12,1555,181,182,157,1303,2032,13,2017,2045,28,0,0,0,,2,0,0,26,0
2015,1,1,4,NK,356,N519NK,SAN,LAS,1520,1513,-7,1,18,1531,72,82,57,258,1628,7,1632,1635,3,0,0,0,,,,,,
2015,1,1,4,UA,1180,N68805,SAN,DEN,1523,1534,11,0,10,1544,139,149,127,853,1851,12,1842,1903,21,0,0,0,,10,0,11,0,0
2015,1,1,4,WN,931,N8634A,SAN,DEN,1525,1530,5,0,8,1538,140,145,127,853,1845,10,1845,1855,10,0,0,0,,,,,,
2015,1,1,4,AS,571,N403AS,SAN,PDX,1525,1521,-4,1,12,1533,153,150,134,933,1747,4,1758,1751,-7,1,0,0,,,,,,
2015,1,1,4,AA,1445,N567AA,SAN,DFW,1530,1532,2,0,14,1546,180,175,144,1171,2010,17,2030,2027,-3,1,0,0,,,,,,
2015,1,1,4,OO,2620,N435SW,SAN,LAX,1535,1535,0,1,10,1545,45,40,26,109,1611,4,1620,1615,-5,1,0,0,,,,,,
2015,1,1,4,AA,159,N3JHAA,SAN,ORD,1540,1530,-10,1,12,1542,235,224,202,1723,2104,10,2135,2114,-21,1,0,0,,,,,,
2015,1,1,4,WN,948,N945WN,SAN,DAL,1545,1623,38,0,7,1630,165,158,144,1182,2054,7,2030,2101,31,0,0,0,,0,0,16,15,0
2015,1,1,4,WN,599,N725SW,SAN,PHX,1545,1608,23,0,16,1624,70,72,50,304,1814,6,1755,1820,25,0,0,0,,2,0,13,10,0
2015,1,1,4,WN,1901,N687SW,SAN,SFO,1550,1657,67,0,13,1710,85,105,87,447,1837,5,1715,1842,87,0,0,0,,20,0,31,36,0
2015,1,1,4,WN,4742,N369SW,SAN,SJC,1550,1603,13,0,10,1613,80,77,62,417,1715,5,1710,1720,10,0,0,0,,,,,,
2015,1,1,4,US,486,N578UW,SAN,PHX,1615,1605,-10,1,13,1618,76,69,50,304,1808,6,1831,1814,-17,1,0,0,,,,,,
2015,1,1,4,WN,1870,N427WN,SAN,SAT,1625,1639,14,0,8,1647,155,151,136,1129,2103,7,2100,2110,10,0,0,0,,,,,,
2015,1,1,4,WN,512,N741SA,SAN,LAS,1630,1711,41,0,10,1721,70,68,52,258,1813,6,1740,1819,39,0,0,0,,0,0,6,33,0
2015,1,1,4,OO,4541,N823SK,SAN,LAX,1633,1632,-1,1,27,1659,52,55,24,109,1723,4,1725,1727,2,0,0,0,,,,,,
2015,1,1,4,WN,4840,N646SW,SAN,OAK,1635,1718,43,0,11,1729,85,83,67,446,1836,5,1800,1841,41,0,0,0,,0,0,11,30,0
2015,1,1,4,OO,2579,N465SW,SAN,LAX,1645,1638,-7,1,8,1646,45,36,24,109,1710,4,1730,1714,-16,1,0,0,,,,,,
2015,1,1,4,AS,233,N569AS,SAN,SEA,1700,1651,-9,1,12,1703,175,172,152,1050,1935,8,1955,1943,-12,1,0,0,,,,,,
2015,1,1,4,UA,449,N447UA,SAN,IAH,1705,1702,-3,1,16,1718,181,179,152,1303,2150,11,2206,2201,-5,1,0,0,,,,,,
2015,1,1,4,WN,2205,N637SW,SAN,SJC,1715,1713,-2,1,12,1725,80,81,64,417,1829,5,1835,1834,-1,1,0,0,,,,,,
2015,1,1,4,WN,139,N392SW,SAN,SMF,1725,1728,3,0,16,1744,90,98,79,480,1903,3,1855,1906,11,0,0,0,,,,,,
2015,1,1,4,WN,4743,N778SW,SAN,LAS,1730,1733,3,0,16,1749,70,75,54,258,1843,5,1840,1848,8,0,0,0,,,,,,
2015,1,1,4,WN,327,N450WN,SAN,OAK,1730,1729,-1,1,22,1751,90,97,67,446,1858,8,1900,1906,6,0,0,0,,,,,,
2015,1,1,4,AA,1015,N4XRAA,SAN,DFW,1730,1750,20,0,15,1805,170,167,144,1171,2229,8,2220,2237,17,0,0,0,,0,0,0,17,0
2015,1,1,4,AS,483,N563AS,SAN,SEA,1730,1721,-9,1,13,1734,185,169,150,1050,2004,6,2035,2010,-25,1,0,0,,,,,,
2015,1,1,4,NK,108,N602NK,SAN,DFW,1730,1737,7,0,16,1753,161,174,141,1171,2214,17,2211,2231,20,0,0,0,,20,0,0,0,0
2015,1,1,4,OO,6335,N578SW,SAN,LAX,1732,1723,-9,1,18,1741,50,55,30,109,1811,7,1822,1818,-4,1,0,0,,,,,,
2015,1,1,4,VX,963,N836VA,SAN,SFO,1735,1726,-9,1,15,1741,95,90,69,447,1850,6,1910,1856,-14,1,0,0,,,,,,
2015,1,1,4,WN,3325,N412WN,SAN,SFO,1740,1754,14,0,11,1805,85,85,69,447,1914,5,1905,1919,14,0,0,0,,,,,,
2015,1,1,4,UA,386,N421UA,SAN,DEN,1759,1800,1,0,14,1814,141,157,128,853,2122,15,2120,2137,17,0,0,0,,17,0,0,0,0
2015,1,1,4,OO,5197,N930SW,SAN,SFO,1759,1758,-1,1,12,1810,98,88,72,447,1922,4,1937,1926,-11,1,0,0,,,,,,
2015,1,1,4,WN,791,N740SW,SAN,PHX,1805,1804,-1,1,11,1815,70,68,51,304,2006,6,2015,2012,-3,1,0,0,,,,,,
2015,1,1,4,WN,4997,N401WN,SAN,TUS,1805,1805,0,1,13,1818,70,73,57,368,2015,3,2015,2018,3,0,0,0,,,,,,
2015,1,1,4,AS,579,N792AS,SAN,PDX,1810,2050,160,0,17,2107,155,155,134,933,2321,4,2045,2325,160,0,0,0,,0,0,160,0,0
2015,1,1,4,WN,2426,N921WN,SAN,LAS,1815,1810,-5,1,9,1819,70,68,54,258,1913,5,1925,1918,-7,1,0,0,,,,,,
2015,1,1,4,OO,2624,N466SW,SAN,LAX,1815,1806,-9,1,16,1822,50,48,26,109,1848,6,1905,1854,-11,1,0,0,,,,,,
2015,1,1,4,OO,6436,N584SW,SAN,LAX,1825,1819,-6,1,5,1824,50,42,28,109,1852,9,1915,1901,-14,1,0,0,,,,,,
2015,1,1,4,WN,248,N261WN,SAN,OAK,1835,1900,25,0,10,1910,90,88,65,446,2015,13,2005,2028,23,0,0,0,,0,0,17,6,0
2015,1,1,4,WN,516,N390SW,SAN,SMF,1835,1852,17,0,7,1859,95,90,78,480,2017,5,2010,2022,12,0,0,0,,,,,,
2015,1,1,4,WN,1817,N460WN,SAN,PDX,1840,1907,27,0,9,1916,155,144,132,933,2128,3,2115,2131,16,0,0,0,,0,0,15,1,0
2015,1,1,4,WN,371,N294WN,SAN,RNO,1840,2018,98,0,11,2029,90,94,78,488,2147,5,2010,2152,102,0,0,0,,4,0,86,12,0
2015,1,1,4,WN,4930,N422WN,SAN,SEA,1845,1916,31,0,9,1925,175,166,152,1050,2157,5,2140,2202,22,0,0,0,,0,0,9,13,0
2015,1,1,4,WN,520,N387SW,SAN,SJC,1910,2027,77,0,7,2034,80,75,64,417,2138,4,2030,2142,72,0,0,0,,0,0,0,72,0
2015,1,1,4,US,632,N182UW,SAN,PHX,1920,1911,-9,1,15,1926,73,88,54,304,2120,19,2133,2139,6,0,0,0,,,,,,
2015,1,1,4,WN,171,N783SW,SAN,PHX,1930,1949,19,0,7,1956,70,65,53,304,2149,5,2140,2154,14,0,0,0,,,,,,
2015,1,1,4,OO,2590,N863AS,SAN,LAX,1930,2053,83,0,12,2105,50,44,24,109,2129,8,2020,2137,77,0,0,0,,0,0,0,77,0
2015,1,1,4,WN,2102,N263WN,SAN,DEN,1940,2014,34,0,8,2022,135,131,116,853,2318,7,2255,2325,30,0,0,0,,0,0,30,0,0
2015,1,1,4,WN,2079,N602SW,SAN,SFO,1945,2103,78,0,15,2118,85,90,68,447,2226,7,2110,2233,83,0,0,0,,5,0,0,78,0
2015,1,1,4,VX,969,N528VA,SAN,SFO,1950,1957,7,0,11,2008,95,93,68,447,2116,14,2125,2130,5,0,0,0,,,,,,
2015,1,1,4,AS,239,N530AS,SAN,SEA,1955,1953,-2,1,12,2005,178,168,148,1050,2233,8,2253,2241,-12,1,0,0,,,,,,
2015,1,1,4,F9,558,N218FR,SAN,DEN,1959,2027,28,0,13,2040,130,141,116,853,2336,12,2309,2348,39,0,0,0,,16,0,0,23,0
2015,1,1,4,WN,282,N8617E,SAN,SMF,2000,2021,21,0,6,2027,90,83,73,480,2140,4,2130,2144,14,0,0,0,,,,,,
2015,1,1,4,WN,684,N249WN,SAN,SJC,2010,2037,27,0,20,2057,80,87,64,417,2201,3,2130,2204,34,0,0,0,,7,0,0,27,0
